Service_Name|Version|Service_Category|Atm_Service_Category|Messaging_Mode|LifeCicleStage|InterfaceType|ServiceProviderName
CSS-WxWebCoverageService(WCS)|1.0|Weather|EnRouteCruise/Oceanic|Essential|Proposed|Method-Oriented|FAAATO
CSS-WxWebCoverageService(WCS)|1.0|Weather|EnRouteCruise/Oceanic|Essential|Proposed|Method-Oriented|FAAATO
CSS-WxWebCoverageService(WCS)|1.0|Weather|EnRouteCruise/Oceanic|Essential|Proposed|Method-Oriented|AJM-333
CSS-WxWebCoverageService(WCS)|1.0|Weather|EnRouteCruise/Oceanic|Essential|Proposed|Method-Oriented|CSS-WxNextGenWeatherSystems
CSS-WxWebFeatureService(WFS)|1.0|Weather|FlightPlanning|Essential|Proposed|Method-Oriented|FAAATO
CSS-WxWebFeatureService(WFS)|1.0|Weather|Airport|Essential|Proposed|Method-Oriented|FAAATO
CSS-WxWebFeatureService(WFS)|1.0|Weather|ArrivalandDeparture|Essential|Proposed|Method-Oriented|FAAATO
CSS-WxWebFeatureService(WFS)|1.0|Weather|EnRouteCruise/Oceanic|Essential|Proposed|Method-Oriented|FAAATO
CSS-WxWebFeatureService(WFS)|1.0|Weather|EnRouteCruise/Oceanic|Essential|Proposed|Method-Oriented|FAAATO
CSS-WxWebFeatureService(WFS)|1.0|Weather|EnRouteCruise/Oceanic|Essential|Proposed|Method-Oriented|AJM-333
CSS-WxWebFeatureService(WFS)|1.0|Weather|EnRouteCruise/Oceanic|Essential|Proposed|Method-Oriented|CSS-WxNextGenWeatherSystems
CSS-WxWebMapService(WMS)|1.0|Weather|FlightPlanning|Essential|Proposed|Method-Oriented|FAAATO
CSS-WxWebMapService(WMS)|1.0|Weather|Airport|Essential|Proposed|Method-Oriented|FAAATO
CSS-WxWebMapService(WMS)|1.0|Weather|ArrivalandDeparture|Essential|Proposed|Method-Oriented|FAAATO
CSS-WxWebMapService(WMS)|1.0|Weather|EnRouteCruise/Oceanic|Essential|Proposed|Method-Oriented|FAAATO
CSS-WxWebMapService(WMS)|1.0|Weather|EnRouteCruise/Oceanic|Essential|Proposed|Method-Oriented|FAAATO
CSS-WxWebMapService(WMS)|1.0|Weather|EnRouteCruise/Oceanic|Essential|Proposed|Method-Oriented|AJM-333
CSS-WxWebMapService(WMS)|1.0|Weather|EnRouteCruise/Oceanic|Essential|Proposed|Method-Oriented|CSS-WxNextGenWeatherSystems
CSS-WxWebMappingTileService(WMTS)|1.0|Weather|FlightPlanning|Essential|Proposed|Method-Oriented|FAAATO
CSS-WxWebMappingTileService(WMTS)|1.0|Weather|Airport|Essential|Proposed|Method-Oriented|FAAATO
CSS-WxWebMappingTileService(WMTS)|1.0|Weather|ArrivalandDeparture|Essential|Proposed|Method-Oriented|FAAATO
CSS-WxWebMappingTileService(WMTS)|1.0|Weather|EnRouteCruise/Oceanic|Essential|Proposed|Method-Oriented|FAAATO
CSS-WxWebMappingTileService(WMTS)|1.0|Weather|EnRouteCruise/Oceanic|Essential|Proposed|Method-Oriented|FAAATO
CSS-WxWebMappingTileService(WMTS)|1.0|Weather|EnRouteCruise/Oceanic|Essential|Proposed|Method-Oriented|AJM-333
CSS-WxWebMappingTileService(WMTS)|1.0|Weather|EnRouteCruise/Oceanic|Essential|Proposed|Method-Oriented|CSS-WxNextGenWeatherSystems
DataLinkDispatch(DLD)Service||Flight|ArrivalandDeparture|Publish/Subscribe|Proposed|Message-Oriented|FAADataCommunicationsNetworkService(DCNS)Program
DataLinkDispatch(DLD)Service||Flight|EnRouteCruise/Oceanic|Publish/Subscribe|Proposed|Message-Oriented|FAADataCommunicationsNetworkService(DCNS)Program
DataLinkDispatch(DLD)Service||Flight|EnRouteCruise/Oceanic|Publish/Subscribe|Proposed|Message-Oriented|FAADataCommunicationsNetworkService(DCNS)Program
DCNSStatusMessage|1.0|OperationandMaintenance|NASManagement|Publish/Subscribe|Verification|Message-Oriented|DataCommunicationsProgramOffice(AJM-34)
ElectronicNationalAirspaceSystemResourcesGetWebServices(NASRStaticAI)|1.0|Aeronautical|FlightPlanning|Essential|Definition|Method-Oriented|ProgramManagementOrganization(PMO)
EnRouteAirspaceDataPublication(SFDPS)(Deprecated)|1.2.9.1|Aeronautical|EnRouteCruise/Oceanic|Publish/Subscribe|Deprecated|Message-Oriented|SWIMFlightDataPublicationService(SFDPS)(AJM-316)
EnRouteAirspaceDataPublication-v2.0(SFDPS)|2.0|Aeronautical|EnRouteCruise/Oceanic|Publish/Subscribe|Production|Message-Oriented|SWIMFlightDataPublicationService(SFDPS)(AJM-316)
EnRouteAirspaceDataQuery(SFDPS)|1.2.9.1|Aeronautical|EnRouteCruise/Oceanic|Essential|Deprecated|Method-Oriented|SWIMFlightDataPublicationService(SFDPS)(AJM-316)
EnRouteAirspaceDataQuery-v2.0(SFDPS)|2.0|Aeronautical|EnRouteCruise/Oceanic|Essential|Production|Method-Oriented|SWIMFlightDataPublicationService(SFDPS)(AJM-316)
EnRouteFlightDataPublication(SFDPS)|1.2.9.1|Flight|EnRouteCruise/Oceanic|Publish/Subscribe|Deprecated|Message-Oriented|SWIMFlightDataPublicationService(SFDPS)(AJM-316)
EnRouteFlightDataPublication-v2.0(SFDPS)|2.0|Flight|EnRouteCruise/Oceanic|Publish/Subscribe|Production|Message-Oriented|SWIMFlightDataPublicationService(SFDPS)(AJM-316)
EnRouteFlightDataQuery(SFDPS)|1.2.9.1|Flight|EnRouteCruise/Oceanic|Essential|Deprecated|Method-Oriented|SWIMFlightDataPublicationService(SFDPS)(AJM-316)
EnRouteFlightDataQuery-v2.0(SFDPS)|2.0|Flight|EnRouteCruise/Oceanic|Essential|Production|Method-Oriented|SWIMFlightDataPublicationService(SFDPS)(AJM-316)
EnRouteGeneralMessagePublication(SFDPS)|1.2.9.1|Flight|EnRouteCruise/Oceanic|Publish/Subscribe|Deprecated|Message-Oriented|SWIMFlightDataPublicationService(SFDPS)(AJM-316)
EnRouteGeneralMessagePublication-v2.0(SFDPS)|2.0|Flight|EnRouteCruise/Oceanic|Publish/Subscribe|Production|Message-Oriented|SWIMFlightDataPublicationService(SFDPS)(AJM-316)
EnRouteGeneralMessageQuery(SFDPS)|1.2.9.1|Flight|EnRouteCruise/Oceanic|Essential|Deprecated|Method-Oriented|SWIMFlightDataPublicationService(SFDPS)(AJM-316)
EnRouteGeneralMessageQuery-v2.0(SFDPS)|2.0|Flight|EnRouteCruise/Oceanic|Essential|Production|Method-Oriented|SWIMFlightDataPublicationService(SFDPS)(AJM-316)
EnRouteOperationalDataPublication(SFDPS)|1.2.9.1|OperationandMaintenance|EnRouteCruise/Oceanic|Publish/Subscribe|Deprecated|Message-Oriented|SWIMFlightDataPublicationService(SFDPS)(AJM-316)
EnRouteOperationalDataPublication-v2.0(SFDPS)|2.0|OperationandMaintenance|EnRouteCruise/Oceanic|Publish/Subscribe|Proposed|Message-Oriented|SWIMFlightDataPublicationService(SFDPS)(AJM-316)
EnRouteOperationalDataQuery(SFDPS)|1.2.9.1|OperationandMaintenance|EnRouteCruise/Oceanic|Essential|Deprecated|Method-Oriented|SWIMFlightDataPublicationService(SFDPS)(AJM-316)
EnRouteOperationalDataQuery-v2.0(SFDPS)|2.0|OperationandMaintenance|EnRouteCruise/Oceanic|Essential|Proposed|Method-Oriented|SWIMFlightDataPublicationService(SFDPS)(AJM-316)
