,Meteorology,Aeronautical Information,Flight,Other,Surveillance,Environment,Capacity Demand and Flow,Total,%Total
Europe,22.0,12.0,14.0,3.0,3.0,6.0,5.0,65.0,0.433333333333
Oceania,2.0,0.0,2.0,1.0,2.0,1.0,1.0,9.0,0.06
Global,8.0,11.0,8.0,5.0,2.0,4.0,2.0,40.0,0.266666666667
Africa,4.0,0.0,1.0,1.0,1.0,1.0,1.0,9.0,0.06
Asia,2.0,1.0,1.0,2.0,1.0,1.0,1.0,9.0,0.06
North America,3.0,1.0,2.0,2.0,1.0,1.0,1.0,11.0,0.0733333333333
South America,2.0,0.0,1.0,1.0,1.0,1.0,1.0,7.0,0.0466666666667
Total,43.0,25.0,29.0,15.0,11.0,15.0,12.0,150.0,1.0
%Total,0.142857142857,0.0830564784053,0.0963455149502,0.0498338870432,0.0365448504983,0.0498338870432,0.0398671096346,0.498338870432,0.00332225913621
